job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role
AIJOB0001,AI Agent Developer,AI Engineering,Mid,7,Master's,239000.0,90000.0,320000.0,Boston,USA,On-site,Startup (1-50),Finance,APIs|Planning Systems|Python|Cloud|SQL|Leadership,16.59,96,16.9,6.8,2026,3,0,0,1
AIJOB0002,Prompt Engineer,AI Engineering,Entry,2,Bachelor's,166000.0,90000.0,300000.0,London,UK,Hybrid,Enterprise (5000+),Finance,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,14.87,82,11.6,6.2,2026,1,0,1,1
AIJOB0003,LLM Engineer,AI Engineering,Mid,4,Associate's,300000.0,90000.0,320000.0,Seattle,USA,Fully Remote,Big Tech (FAANG+),Finance,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,46.34,98,42.7,7.7,2026,1,0,1,1
AIJOB0004,Data Engineer (AI),Data Engineering,Entry,3,Bachelor's,161000.0,90000.0,300000.0,Singapore,Singapore,Fully Remote,SME (51-500),Technology,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,17.44,88,6.7,9.5,2026,3,0,1,0
AIJOB0005,AI Product Manager,Product,Mid,5,Bootcamp/Self-taught,260000.0,90000.0,320000.0,Los Angeles,USA,Fully Remote,Enterprise (5000+),Automotive,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,26.83,85,17.3,8.9,2026,1,0,1,0
AIJOB0006,AI Agent Developer,AI Engineering,Mid,5,Bootcamp/Self-taught,155000.0,90000.0,320000.0,Chicago,USA,On-site,Enterprise (5000+),Government,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,24.39,96,67.7,8.7,2026,1,0,0,1
AIJOB0007,AI Security Engineer,Security,Mid,5,Master's,197000.0,90000.0,320000.0,Boston,USA,Fully Remote,Mid-size (501-5000),Manufacturing,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,3.9,80,12.7,6.2,2026,1,0,1,0
AIJOB0008,Senior ML Engineer,AI Engineering,Mid,7,Master's,221000.0,90000.0,320000.0,Remote,Global,Fully Remote,Startup (1-50),Education,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,7.8,96,33.1,6.2,2025,9,0,1,0
AIJOB0009,NLP Engineer,AI Engineering,Entry,3,Bachelor's,145000.0,90000.0,300000.0,Bangalore,India,Hybrid,SME (51-500),Automotive,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,25.64,91,79.4,8.2,2025,8,0,1,0
AIJOB0010,Prompt Engineer,AI Engineering,Mid,4,Bootcamp/Self-taught,90000.0,90000.0,320000.0,Los Angeles,USA,On-site,Startup (1-50),Automotive,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,56.1,82,15.5,7.1,2025,2,0,0,1
